age_group,age_label,measure,exclusion_rule,retained_n,excluded_n,double_high_n,deviation_only_n,high_deviation_n,jaccard_high_deviation_with_primary,jaccard_double_high_with_primary,lost_primary_high_deviation_iso3,new_high_deviation_iso3,interpretation,threshold_order,threshold_label
70p,70+ years,Incidence,no exclusion,203,0,41,27,68,1.0,,,,Primary classification.,0,All countries
70p,70+ years,Incidence,population_at_risk >= 500000,85,118,21,8,29,0.3287671232876712,0.3191489361702128,ARE;ASM;ATG;BHR;BHS;BOL;BRB;BWA;CIV;COG;COK;COM;CPV;DJI;DMA;ERI;GAB;GIN;GMB;GNQ;GRD;GUM;JOR;KNA;KWT;LBN;LBY;LCA;LSO;MRT;NAM;OMN;PRY;PSE;QAT;RWA;SAU;SLE;STP;SWZ;SYC;TGO;TON;ZWE,COD;DOM;IRQ;LKA;MAR,Membership sensitivity after excluding smaller population-at-risk denominators.,1,>=500k
70p,70+ years,Incidence,population_at_risk >= 1000000,64,139,17,5,22,0.2676056338028169,0.2608695652173913,AGO;ARE;ASM;ATG;BHR;BHS;BOL;BRB;BWA;CIV;CMR;COG;COK;COM;CPV;DJI;DMA;ERI;GAB;GHA;GIN;GMB;GNQ;GRD;GUM;JOR;KNA;KWT;LBN;LBY;LCA;LSO;MRT;NAM;OMN;PRI;PRY;PSE;QAT;RWA;SAU;SLE;STP;SWZ;SYC;TGO;TON;TUN;ZWE,CHN;IRQ;LKA,Membership sensitivity after excluding smaller population-at-risk denominators.,2,>=1M
70p,70+ years,DALYs,no exclusion,203,0,55,13,68,1.0,,,,Primary classification.,0,All countries
70p,70+ years,DALYs,population_at_risk >= 500000,85,118,26,3,29,0.2763157894736842,0.2857142857142857,ARE;ATG;BEN;BLZ;BOL;BRN;BWA;CIV;COG;COM;CPV;DJI;ERI;GAB;GEO;GIN;GMB;GNB;GNQ;GRD;GRL;GUY;KNA;KWT;LAO;LBN;LSO;MDG;MDV;MRT;MWI;NAM;OMN;PRY;RWA;SAU;SLB;SLE;SLV;SSD;STP;SWZ;SYC;TGO;TLS;ZMB;ZWE,COD;ECU;GRC;IND;MMR;MOZ;POL;PRT,Membership sensitivity after excluding smaller population-at-risk denominators.,1,>=500k
70p,70+ years,DALYs,population_at_risk >= 1000000,64,139,20,2,22,0.2,0.1904761904761904,AGO;ARE;ATG;BEN;BLZ;BOL;BRN;BWA;CIV;CMR;COG;COM;CPV;DJI;ERI;GAB;GEO;GHA;GIN;GMB;GNB;GNQ;GRD;GRL;GTM;GUY;KHM;KNA;KWT;LAO;LBN;LSO;MDG;MDV;MRT;MWI;NAM;OMN;PRY;RWA;SAU;SGP;SLB;SLE;SLV;SSD;STP;SWZ;SYC;TGO;TLS;ZMB;ZWE,COD;ECU;GRC;MMR;NGA;POL;PRT,Membership sensitivity after excluding smaller population-at-risk denominators.,2,>=1M
u5,Under-5,Incidence,no exclusion,203,0,23,45,68,1.0,,,,Primary classification.,0,All countries
u5,Under-5,Incidence,population_at_risk >= 500000,107,96,7,29,36,0.3506493506493506,0.25,ARE;ASM;ATG;BGR;BHR;BHS;BMU;BRB;BWA;COK;DMA;EST;FJI;GEO;GUM;HRV;HUN;KNA;KWT;LBN;LSO;LTU;LVA;MHL;MNE;MNP;MUS;NAM;NIU;NRU;OMN;PLW;PRI;QAT;SGP;SVK;SVN;SYC;TLS;TON;VIR,DZA;ECU;JPN;KOR;PER;PRK;RUS;SWE;VNM,Membership sensitivity after excluding smaller population-at-risk denominators.,1,>=500k
u5,Under-5,Incidence,population_at_risk >= 1000000,85,118,6,23,29,0.2435897435897435,0.2083333333333333,ARE;ASM;ATG;AZE;BGR;BHR;BHS;BMU;BRB;BWA;COK;CZE;DMA;EST;FJI;GEO;GUM;HRV;HUN;KNA;KWT;LBN;LBY;LSO;LTU;LVA;MHL;MNE;MNP;MUS;NAM;NIU;NRU;OMN;PLW;PRI;PSE;QAT;ROU;SGP;SVK;SVN;SYC;TKM;TLS;TON;TUN;TWN;VIR,ARG;DZA;ECU;JPN;KAZ;KOR;PER;PRK;RUS;VNM,Membership sensitivity after excluding smaller population-at-risk denominators.,2,>=1M
u5,Under-5,DALYs,no exclusion,203,0,32,36,68,1.0,,,,Primary classification.,0,All countries
u5,Under-5,DALYs,population_at_risk >= 500000,107,96,18,18,36,0.4647887323943662,0.4705882352941176,ARE;ARM;ASM;ATG;BGR;BHS;BWA;COK;FJI;GAB;GEO;GNQ;GRD;GRL;GUM;GUY;KWT;LBN;LSO;MDA;MHL;MNG;MNP;NAM;NIU;NRU;PAN;PLW;PRI;QAT;SVK;SWZ;SYC;TLS;TUV,GIN;PNG;TJK,Membership sensitivity after excluding smaller population-at-risk denominators.,1,>=500k
u5,Under-5,DALYs,population_at_risk >= 1000000,85,118,16,13,29,0.3472222222222222,0.3714285714285714,ARE;ARM;ASM;ATG;AZE;BGR;BHS;BWA;COG;COK;FJI;GAB;GEO;GNQ;GRD;GRL;GUM;GUY;KGZ;KWT;LAO;LBN;LBY;LSO;MDA;MHL;MNG;MNP;NAM;NIU;NRU;PAN;PLW;PRI;QAT;ROU;SVK;SWZ;SYC;TKM;TLS;TUV;TWN,AGO;GIN;PNG;TJK,Membership sensitivity after excluding smaller population-at-risk denominators.,2,>=1M
