age_group,age_label,profile,domain,primary_group_n,stable_subset_n,primary_n_with_domain,stable_n_with_domain,primary_coverage,stable_coverage,primary_mean_difference,primary_bootstrap_95ci_lower,primary_bootstrap_95ci_upper,stable_mean_difference,stable_bootstrap_95ci_lower,stable_bootstrap_95ci_upper,sign_concordance,absolute_magnitude_difference,bootstrap_iterations,interpretation_status
u5,Under-5,incidence-only,Household energy / HAP,29,22,29,22,1.0,1.0,-0.0898880656130681,-0.2365445952515973,0.0679236395616495,-0.1085574578136772,-0.2540772618063463,0.0590110894593098,True,0.018669392200609,2000,estimated
u5,Under-5,incidence-only,Outdoor PM2.5,29,22,29,22,1.0,1.0,0.1594717309906033,-0.1795750674454882,0.4987608766008304,0.1063118983031749,-0.2765645112307141,0.5032990385628693,True,-0.0531598326874284,2000,estimated
u5,Under-5,incidence-only,Thermal climate,29,22,29,22,1.0,1.0,0.0244369665366396,-0.1576259723684926,0.2073279421917252,0.0437513721703705,-0.1736386652018553,0.2666502087126345,True,0.0193144056337309,2000,estimated
u5,Under-5,incidence-only,Wetness / transmission,29,22,29,22,1.0,1.0,0.1043197120335046,-0.2229211716119626,0.402611595381859,0.2474933725308718,-0.0759687678074949,0.5762192323985152,True,0.1431736604973671,2000,estimated
u5,Under-5,incidence-only,WASH,29,22,28,22,0.9655172413793104,1.0,-0.1785625326256638,-0.2755448703976593,-0.0799243323976599,-0.1566949341526977,-0.2498989878093054,-0.0565701637768781,True,-0.0218675984729661,2000,estimated
u5,Under-5,incidence-only,Immunisation / UHC,29,22,27,20,0.9310344827586208,0.9090909090909092,-0.0032462330719184,-0.2381643780225199,0.2666441232999498,-0.0959452963696471,-0.3377492699917808,0.166918179929509,True,0.0926990632977286,2000,estimated
u5,Under-5,incidence-only,Health resources,29,22,18,13,0.6206896551724138,0.5909090909090909,0.1194622414635621,-0.0668795281612627,0.3040638913985621,0.1834899423027676,-0.0431881968996074,0.4148617534925574,True,0.0640277008392054,2000,estimated
u5,Under-5,incidence-only,Nutrition,29,22,2,2,0.0689655172413793,0.0909090909090909,,,,,,,,,2000,insufficient n
u5,Under-5,incidence-only,HIV/TB,29,22,28,21,0.9655172413793104,0.9545454545454546,-0.2545517703063748,-0.5056630827334251,-0.0266725285963244,-0.1600889262850786,-0.378375857210915,0.0440536028255091,True,-0.0944628440212962,2000,estimated
u5,Under-5,severe-only,Household energy / HAP,29,16,29,16,1.0,1.0,0.005970119802998,-0.1223314680655651,0.1324078671435812,-0.009084801847142,-0.207070455416179,0.1645612490147284,False,0.0031146820441439,2000,estimated
u5,Under-5,severe-only,Outdoor PM2.5,29,16,29,16,1.0,1.0,0.1777965884500974,-0.155664898251044,0.4918673323225003,0.0943002396902345,-0.3342971746421633,0.4968966605929512,True,-0.0834963487598628,2000,estimated
u5,Under-5,severe-only,Thermal climate,29,16,29,16,1.0,1.0,-0.2338564056516948,-0.4821135371324496,-0.0128329963667504,-0.3209999647874603,-0.7020459882607545,0.0002169941482326,True,0.0871435591357654,2000,estimated
u5,Under-5,severe-only,Wetness / transmission,29,16,29,16,1.0,1.0,0.06118019336878,-0.290292592220322,0.4032969023961575,-0.0117377962759369,-0.492870206351605,0.4730015066081765,False,-0.049442397092843,2000,estimated
u5,Under-5,severe-only,WASH,29,16,27,15,0.9310344827586208,0.9375,0.1682504289047744,-0.0136918970922327,0.3665266774147498,0.0476191393853024,-0.1661666080060267,0.2535825571088893,True,-0.120631289519472,2000,estimated
u5,Under-5,severe-only,Immunisation / UHC,29,16,28,15,0.9655172413793104,0.9375,0.0660885549240653,-0.2008249842777765,0.3416929329277832,-0.0718542704763048,-0.412303613591724,0.2772945206025452,False,0.0057657155522394,2000,estimated
u5,Under-5,severe-only,Health resources,29,16,19,11,0.6551724137931034,0.6875,-0.2419554218206365,-0.448707352945525,-0.0466065178564699,-0.3591617015860294,-0.6382979459119333,-0.1016787701831375,True,0.1172062797653928,2000,estimated
u5,Under-5,severe-only,Nutrition,29,16,6,3,0.2068965517241379,0.1875,-0.2191988016695271,-0.6160287904474296,0.2499523332039648,,,,,,2000,insufficient n
u5,Under-5,severe-only,HIV/TB,29,16,29,16,1.0,1.0,0.3398845154588244,0.0539176402755942,0.6258518670370057,0.488388703420087,0.152553540758273,0.92844970109733,True,0.1485041879612625,2000,estimated
u5,Under-5,shared,Household energy / HAP,39,27,39,27,1.0,1.0,0.0148106462009977,-0.1106973719865701,0.1423769146717607,-0.0358102702299801,-0.1869290201687397,0.1125174323301685,False,0.0209996240289823,2000,estimated
u5,Under-5,shared,Outdoor PM2.5,39,27,39,27,1.0,1.0,0.0398570927445828,-0.3838107887849123,0.4808296145342701,-0.1025952957709939,-0.5903473939674354,0.398253295584632,False,0.062738203026411,2000,estimated
u5,Under-5,shared,Thermal climate,39,27,39,27,1.0,1.0,0.2294026005911157,0.0392976067816763,0.4352838327221254,0.136720799846913,-0.0788651339746831,0.3675799316101238,True,-0.0926818007442027,2000,estimated
u5,Under-5,shared,Wetness / transmission,39,27,39,27,1.0,1.0,-0.1033811996944621,-0.4981599455133254,0.2582961024649041,-0.0635426373564534,-0.5541275237982783,0.3791613001251969,True,-0.0398385623380087,2000,estimated
u5,Under-5,shared,WASH,39,27,35,24,0.8974358974358975,0.8888888888888888,0.0725185419784932,-0.0652154504282635,0.2296317863989951,0.013567612323692,-0.0983916483579737,0.1320242534313855,True,-0.0589509296548012,2000,estimated
u5,Under-5,shared,Immunisation / UHC,39,27,32,22,0.8205128205128205,0.8148148148148148,0.0214560805911882,-0.191622185442549,0.2431634238344318,-0.014424610849309,-0.2635001150269914,0.2714908206731224,False,-0.0070314697418791,2000,estimated
u5,Under-5,shared,Health resources,39,27,19,12,0.4871794871794871,0.4444444444444444,0.1689747426100186,0.0120724326123502,0.3181707820599783,0.0852121070767299,-0.1349586328236231,0.3050432555254788,True,-0.0837626355332886,2000,estimated
u5,Under-5,shared,Nutrition,39,27,7,5,0.1794871794871795,0.1851851851851851,-0.0048752915423176,-0.3703279243746719,0.3938942598013774,0.0558292836900871,-0.3784760561538478,0.5962695390284112,False,0.0509539921477695,2000,estimated
u5,Under-5,shared,HIV/TB,39,27,36,25,0.9230769230769232,0.925925925925926,0.4219071121465347,0.1207158609645889,0.7428472540694768,0.4238666597209595,0.0909099181546477,0.8015329494793566,True,0.0019595475744247,2000,estimated
70p,70+ years,incidence-only,Household energy / HAP,21,12,21,12,1.0,1.0,-0.0043014456248447,-0.1700934336575428,0.1664254793868175,0.0420197025331995,-0.1404507034663265,0.2359849329884727,False,0.0377182569083548,2000,estimated
70p,70+ years,incidence-only,Outdoor PM2.5,21,12,21,12,1.0,1.0,0.1402276964952281,-0.4285334265836383,0.7326742472891051,0.8288567228742176,0.1724032760308216,1.4985899950718438,True,0.6886290263789895,2000,estimated
70p,70+ years,incidence-only,Thermal climate,21,12,21,12,1.0,1.0,0.228074255231769,0.034917436963166,0.4224406661173829,0.4028436748059918,0.1801896841888845,0.6407961598776739,True,0.1747694195742227,2000,estimated
70p,70+ years,incidence-only,Wetness / transmission,21,12,21,12,1.0,1.0,-0.0727487558538228,-0.5162677511464997,0.3640527680065109,-0.717586198881538,-1.1417604865977102,-0.2468239956856739,True,0.6448374430277152,2000,estimated
70p,70+ years,incidence-only,WASH,21,12,19,11,0.9047619047619048,0.9166666666666666,-0.1008829372104734,-0.2208739058836688,0.0221954534189277,-0.1086920124532171,-0.2519057819734339,0.0403132922925491,True,0.0078090752427437,2000,estimated
70p,70+ years,incidence-only,Immunisation / UHC,21,12,17,12,0.8095238095238095,1.0,0.0582435727314391,-0.2411426471933263,0.4061719598625475,0.0031623369233328,-0.3236447550741267,0.3546047001069592,True,-0.0550812358081063,2000,estimated
70p,70+ years,incidence-only,Health resources,21,12,10,7,0.4761904761904761,0.5833333333333334,0.258810373423059,0.0472312047201371,0.4385126189633758,0.3422748051806888,0.1456068773791383,0.514286977893482,True,0.0834644317576298,2000,estimated
70p,70+ years,incidence-only,Nutrition,21,12,3,2,0.1428571428571428,0.1666666666666666,,,,,,,,,2000,insufficient n
70p,70+ years,incidence-only,HIV/TB,21,12,20,12,0.9523809523809524,1.0,-0.4120568426656224,-0.7665877257140661,-0.0936238884525922,-0.3398574844090209,-0.8096577773264537,0.0849827632330186,True,-0.0721993582566014,2000,estimated
70p,70+ years,severe-only,Household energy / HAP,21,13,21,13,1.0,1.0,0.0840329180624525,-0.0657824874743062,0.2310489730468708,0.0792344543711189,-0.1444776401250308,0.2675189297894653,True,-0.0047984636913335,2000,estimated
70p,70+ years,severe-only,Outdoor PM2.5,21,13,21,13,1.0,1.0,-0.2343095881941998,-0.5936396544596776,0.0990079994946183,-0.1210067417905351,-0.4986282032173717,0.2355720082768019,True,-0.1133028464036646,2000,estimated
70p,70+ years,severe-only,Thermal climate,21,13,21,13,1.0,1.0,-0.0181232671502068,-0.3206582723513794,0.2389514526910872,-0.1150445188952192,-0.3297847434162714,0.1023162917473298,True,0.0969212517450123,2000,estimated
70p,70+ years,severe-only,Wetness / transmission,21,13,21,13,1.0,1.0,0.3690272832501793,0.0617026151464572,0.6937880136215778,0.4158326492516411,0.0426977176487834,0.7979518994519517,True,0.0468053660014617,2000,estimated
70p,70+ years,severe-only,WASH,21,13,21,13,1.0,1.0,0.1522742068795324,-0.1026904747769226,0.4228266748058987,0.1538508250494982,-0.1656130792867612,0.473009109279618,True,0.0015766181699657,2000,estimated
70p,70+ years,severe-only,Immunisation / UHC,21,13,20,13,0.9523809523809524,1.0,-0.0734023221410562,-0.2997593183067653,0.1455701957590378,-0.0673022223048911,-0.2853139827928251,0.1672209033458849,True,-0.006100099836165,2000,estimated
70p,70+ years,severe-only,Health resources,21,13,12,8,0.5714285714285714,0.6153846153846154,0.09270916962504,-0.0607682905133946,0.2464282622555862,0.0265341117503839,-0.1405227742457711,0.1960542716776575,True,-0.0661750578746561,2000,estimated
70p,70+ years,severe-only,Nutrition,21,13,1,1,0.0476190476190476,0.0769230769230769,,,,,,,,,2000,insufficient n
70p,70+ years,severe-only,HIV/TB,21,13,21,13,1.0,1.0,0.1634057319373617,-0.1540859807313919,0.5009524393987701,0.0459643021131818,-0.3307568813357803,0.4575051959863217,True,-0.1174414298241798,2000,estimated
70p,70+ years,shared,Household energy / HAP,47,35,47,35,1.0,1.0,0.1055375364165729,-0.0021561118394254,0.210283366896033,0.1249336271861179,0.0039705917712889,0.2418903120047003,True,0.0193960907695449,2000,estimated
70p,70+ years,shared,Outdoor PM2.5,47,35,47,35,1.0,1.0,0.4352915654182533,0.1646723444434477,0.7033633165835024,0.3545218731419883,0.0694955179920297,0.6450097713505837,True,-0.080769692276265,2000,estimated
70p,70+ years,shared,Thermal climate,47,35,47,35,1.0,1.0,0.3082180232394453,0.1354452292561264,0.4856302880856015,0.2920671852418135,0.1053328357210709,0.4865943613627066,True,-0.0161508379976318,2000,estimated
70p,70+ years,shared,Wetness / transmission,47,35,47,35,1.0,1.0,-0.2140479864401874,-0.5260087876827411,0.0738692932226965,-0.0573286845060503,-0.4249103631580847,0.2801042360346358,True,-0.156719301934137,2000,estimated
70p,70+ years,shared,WASH,47,35,41,29,0.8723404255319149,0.8285714285714286,0.2755247924683102,0.1201107278890805,0.4422253212784065,0.2679318449098674,0.0901561608571583,0.4547796389938423,True,-0.0075929475584428,2000,estimated
70p,70+ years,shared,Immunisation / UHC,47,35,46,34,0.9787234042553192,0.9714285714285714,-0.0040166078632407,-0.2012335212760166,0.1840192317957425,0.0281367069450782,-0.1800314201273542,0.2625968652712568,False,0.0241200990818374,2000,estimated
70p,70+ years,shared,Health resources,47,35,25,17,0.5319148936170213,0.4857142857142857,0.2003588191735529,0.0763644009266912,0.3318933846593444,0.1199723384189654,-0.0260062863860313,0.2589826414217009,True,-0.0803864807545874,2000,estimated
70p,70+ years,shared,Nutrition,47,35,4,3,0.0851063829787234,0.0857142857142857,,,,,,,,,2000,insufficient n
70p,70+ years,shared,HIV/TB,47,35,46,34,0.9787234042553192,0.9714285714285714,0.3655531497293726,0.0954444383921555,0.6396409664474539,0.4447860943887336,0.1061056364107219,0.7956054672937254,True,0.0792329446593609,2000,estimated
