variant,description,components,weighting,minimum_components,spearman_vs_primary_2000_2023,paired_n_2000_2023,spearman_vs_primary_2023,paired_n_2023,nonmissing_2023
primary_total_5_min3,Five-component total-population-weighted score; at least 3/5 components,Absolute humidity; Relative humidity; Days with RH >60%; Annual precipitation; Days with precipitation >1 mm,total,3,1.0,4872,1.0,203,203
total_5_min4,Five-component total-population-weighted score; at least 4/5 components,Absolute humidity; Relative humidity; Days with RH >60%; Annual precipitation; Days with precipitation >1 mm,total,4,1.0,4872,1.0,203,203
total_5_complete,Five-component total-population-weighted complete-component score,Absolute humidity; Relative humidity; Days with RH >60%; Annual precipitation; Days with precipitation >1 mm,total,5,1.0,4872,1.0,203,203
u5_5_min3,Five-component under-5-population-weighted score; at least 3/5 components,Absolute humidity; Relative humidity; Days with RH >60%; Annual precipitation; Days with precipitation >1 mm,u5,3,0.9994051578339536,4872,0.999159376963486,203,203
70p_5_min3,Five-component age-70+-population-weighted score; at least 3/5 components,Absolute humidity; Relative humidity; Days with RH >60%; Annual precipitation; Days with precipitation >1 mm,70p,3,0.9993795701272709,4872,0.9990388780981836,203,203
total_humidity3_min2,Three-component humidity-only total-population-weighted score,Absolute humidity; Relative humidity; Days with RH >60%,total,2,0.9684902788118634,4872,0.9685454926251827,203,203
total_leave_out_ah,Leave out Absolute humidity; total-population weighting,Relative humidity; Days with RH >60%; Annual precipitation; Days with precipitation >1 mm,total,2,0.989532350384046,4872,0.9895151642083942,203,203
total_leave_out_rh,Leave out Relative humidity; total-population weighting,Absolute humidity; Days with RH >60%; Annual precipitation; Days with precipitation >1 mm,total,2,0.9968265485680492,4872,0.9972529127731669,203,203
total_leave_out_humid_days,Leave out Days with RH >60%; total-population weighting,Absolute humidity; Relative humidity; Annual precipitation; Days with precipitation >1 mm,total,2,0.9969734585179534,4872,0.9972457402216608,203,203
total_leave_out_precip,Leave out Annual precipitation; total-population weighting,Absolute humidity; Relative humidity; Days with RH >60%; Days with precipitation >1 mm,total,2,0.9926008331543994,4872,0.9920901101990816,203,203
total_leave_out_wet_days,Leave out Days with precipitation >1 mm; total-population weighting,Absolute humidity; Relative humidity; Days with RH >60%; Annual precipitation,total,2,0.9951755638159095,4872,0.9927628955303528,203,203
