age_group,age_label,profile,variant,description,group_n,n_inside_with_score,n_outside_with_score,mean_inside,mean_outside,inside_minus_outside,bootstrap_95ci_low,bootstrap_95ci_high,direction
70p,70+ years,incidence-only,primary_total_5_min3,Five-component total-population-weighted score; at least 3/5 components,18,18,185,-0.2271640172991141,0.0221024449264018,-0.249266462225516,-0.733943797910945,0.2249411234199178,"Positive values indicate a more humid/wetter peer-relative context, not universal adversity or causality."
70p,70+ years,incidence-only,u5_5_min3,Five-component under-5-population-weighted score; at least 3/5 components,18,18,185,-0.2420114617220668,0.0235470611405272,-0.265558522862594,-0.7203937551223896,0.2036528198200402,"Positive values indicate a more humid/wetter peer-relative context, not universal adversity or causality."
70p,70+ years,incidence-only,70p_5_min3,Five-component age-70+-population-weighted score; at least 3/5 components,18,18,185,-0.2116526649576427,0.0205932322661507,-0.2322458972237934,-0.6819868426888492,0.2431063360609762,"Positive values indicate a more humid/wetter peer-relative context, not universal adversity or causality."
70p,70+ years,incidence-only,total_humidity3_min2,Three-component humidity-only total-population-weighted score,18,18,185,-0.1044877349363545,0.0101663742100236,-0.1146541091463782,-0.5413571196551943,0.3329758055647696,"Positive values indicate a more humid/wetter peer-relative context, not universal adversity or causality."
70p,70+ years,severe-only,primary_total_5_min3,Five-component total-population-weighted score; at least 3/5 components,24,24,179,0.2943762784275401,-0.0394694451522942,0.3338457235798343,0.0169634060723524,0.6482379621130995,"Positive values indicate a more humid/wetter peer-relative context, not universal adversity or causality."
70p,70+ years,severe-only,u5_5_min3,Five-component under-5-population-weighted score; at least 3/5 components,24,24,179,0.3015093929957891,-0.0404258404016681,0.3419352333974572,0.0045503247865764,0.6645169194444741,"Positive values indicate a more humid/wetter peer-relative context, not universal adversity or causality."
70p,70+ years,severe-only,70p_5_min3,Five-component age-70+-population-weighted score; at least 3/5 components,24,24,179,0.2892639819190492,-0.0387839975757367,0.3280479794947859,-0.0014243413440436,0.6572296308492709,"Positive values indicate a more humid/wetter peer-relative context, not universal adversity or causality."
70p,70+ years,severe-only,total_humidity3_min2,Three-component humidity-only total-population-weighted score,24,24,179,0.2407227231340496,-0.032275672375515,0.2729983955095647,-0.0484624698254773,0.5810633575590599,"Positive values indicate a more humid/wetter peer-relative context, not universal adversity or causality."
70p,70+ years,shared incidence + severe,primary_total_5_min3,Five-component total-population-weighted score; at least 3/5 components,50,50,153,-0.1002352967725893,0.0327566329322206,-0.13299192970481,-0.4293350652894094,0.1581979942019638,"Positive values indicate a more humid/wetter peer-relative context, not universal adversity or causality."
70p,70+ years,shared incidence + severe,u5_5_min3,Five-component under-5-population-weighted score; at least 3/5 components,50,50,153,-0.1056262033663303,0.034518367113182,-0.1401445704795123,-0.4363408204497406,0.1443525384671379,"Positive values indicate a more humid/wetter peer-relative context, not universal adversity or causality."
