variant,variant_description,age_group,age_label,outcome,model_id,wetness_score_sd,beta_log_ratio_per_composite_unit,percent_difference_per_composite_unit,beta_log_ratio_per_empirical_1sd,percent_difference_per_1sd_more_humid_wet,ci_low_percent,ci_high_percent,p_value,n,n_countries,r2,interpretation,primary_percent,same_direction_as_primary,absolute_difference_from_primary_percentage_points
legacy_humidity3_total,Original M1-M3 three-indicator globally standardised humidity score,70p,70+ years,DALYs,M3_domains_sdi_spline_year_fe,0.8729964116539713,0.0238933246227153,2.4181057162329767,0.0208587866581139,2.1077851640530554,-8.969107751331007,14.532545310307633,0.7218211738058844,6902,203,0.226496590344214,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",2.1077851640530554,True,0.0
legacy_humidity3_total,Original M1-M3 three-indicator globally standardised humidity score,70p,70+ years,Deaths,M3_domains_sdi_spline_year_fe,0.8729964116539713,0.0384085000183116,3.915564128566862,0.0335304826929975,3.4098965367134197,-7.906505307280398,16.116852090521782,0.5706831020125566,6902,203,0.2352608808724337,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",3.4098965367134197,True,0.0
legacy_humidity3_total,Original M1-M3 three-indicator globally standardised humidity score,70p,70+ years,Incidence,M3_domains_sdi_spline_year_fe,0.8729964116539713,-0.0988746850787069,-9.414378178817218,-0.0863172452771276,-8.269682504546926,-15.56239090009094,-0.3471173862775067,0.041128372996303,6902,203,0.3185374652168895,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-8.269682504546926,True,0.0
legacy_humidity3_total,Original M1-M3 three-indicator globally standardised humidity score,u5,Under-5,DALYs,M3_domains_sdi_spline_year_fe,0.8729964116539713,-0.1258967378978136,-11.829411111366785,-0.1099074004237318,-10.408290700127198,-19.327079083494542,-0.503486373323081,0.0399457237134901,6902,203,0.0341008316815131,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-10.408290700127198,True,0.0
legacy_humidity3_total,Original M1-M3 three-indicator globally standardised humidity score,u5,Under-5,Deaths,M3_domains_sdi_spline_year_fe,0.8729964116539713,-0.1264091749213903,-11.874581411048467,-0.1103547561065129,-10.448361096884453,-19.37015024206416,-0.5393653304594737,0.0393061294927667,6902,203,0.0341496115302524,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-10.448361096884453,True,0.0
legacy_humidity3_total,Original M1-M3 three-indicator globally standardised humidity score,u5,Under-5,Incidence,M3_domains_sdi_spline_year_fe,0.8729964116539713,-0.0781221654187567,-7.51485652209809,-0.0682003700812126,-6.592670551657953,-12.32855492297864,-0.4815172487911079,0.0349235904271577,6902,203,0.1049360395750927,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-6.592670551657953,True,0.0
era5_total_wetness5,"Five-indicator humidity-plus-precipitation score, total-population weighted",70p,70+ years,DALYs,M3_domains_sdi_spline_year_fe,0.8611406480611884,0.0347920649186845,3.5404389518254087,0.0299608613314629,3.041420412430296,-7.370741292681204,14.62398024969078,0.5814638599551462,6902,203,0.2271683688219066,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",2.1077851640530554,True,0.9336352483772404
era5_total_wetness5,"Five-indicator humidity-plus-precipitation score, total-population weighted",70p,70+ years,Deaths,M3_domains_sdi_spline_year_fe,0.8611406480611884,0.0463487889841025,4.743968267468723,0.0399128261826213,4.07200466986215,-6.433508385631392,15.757061840507667,0.4622488082736287,6902,203,0.2359551860241776,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",3.4098965367134197,True,0.6621081331487311
era5_total_wetness5,"Five-indicator humidity-plus-precipitation score, total-population weighted",70p,70+ years,Incidence,M3_domains_sdi_spline_year_fe,0.8611406480611884,-0.1112563298229309,-10.529062116356258,-0.095807347964628,-9.13609496297202,-15.724737609131513,-2.032352028931428,0.0126102611520058,6902,203,0.3231292626638251,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-8.269682504546926,True,0.8664124584250921
era5_total_wetness5,"Five-indicator humidity-plus-precipitation score, total-population weighted",u5,Under-5,DALYs,M3_domains_sdi_spline_year_fe,0.8611406480611884,-0.0772204512913095,-7.431423751044086,-0.0664976694685757,-6.433490354930038,-15.84623522269174,4.032086387674494,0.2189797772452156,6902,203,0.0255826761740688,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-10.408290700127198,True,3.97480034519716
era5_total_wetness5,"Five-indicator humidity-plus-precipitation score, total-population weighted",u5,Under-5,Deaths,M3_domains_sdi_spline_year_fe,0.8611406480611884,-0.0775444785974722,-7.461413638407743,-0.0667767025529941,-6.459594864534268,-15.87993630210599,4.0157009905607,0.217579331100801,6902,203,0.0255873550590687,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-10.448361096884453,True,3.988766232350183
era5_total_wetness5,"Five-indicator humidity-plus-precipitation score, total-population weighted",u5,Under-5,Incidence,M3_domains_sdi_spline_year_fe,0.8611406480611884,-0.066974120648316,-6.4780596104543005,-0.0576741376584191,-5.60425024749226,-11.55830770031817,0.7506453081531639,0.0827420412268694,6902,203,0.1021604223036307,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-6.592670551657953,True,0.9884203041656932
era5_age_specific_wetness5,Five-indicator score weighted by under-5 or age-70+ population for the corresponding outcome,70p,70+ years,DALYs,M3_domains_sdi_spline_year_fe,0.8600274784960018,0.0321742302896116,3.269741680165783,0.0276707221485243,2.805711224521046,-7.575525054248489,14.352981356757375,0.610416212450317,6902,203,0.2269854346338323,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",2.1077851640530554,True,0.6979260604679904
era5_age_specific_wetness5,Five-indicator score weighted by under-5 or age-70+ population for the corresponding outcome,70p,70+ years,Deaths,M3_domains_sdi_spline_year_fe,0.8600274784960018,0.0436780188200416,4.464594439861069,0.0375642963915013,3.827875251289448,-6.638438158592342,15.467516465819076,0.4883679320204023,6902,203,0.2357162539502674,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",3.4098965367134197,True,0.4179787145760283
era5_age_specific_wetness5,Five-indicator score weighted by under-5 or age-70+ population for the corresponding outcome,70p,70+ years,Incidence,M3_domains_sdi_spline_year_fe,0.8600274784960018,-0.1112942966480295,-10.532458979321824,-0.0957161533171908,-9.12780828334273,-15.694583715574472,-2.049529065495625,0.0123817976329111,6902,203,0.3230742983705843,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-8.269682504546926,True,0.8581257787958041
era5_age_specific_wetness5,Five-indicator score weighted by under-5 or age-70+ population for the corresponding outcome,u5,Under-5,DALYs,M3_domains_sdi_spline_year_fe,0.8616121464085507,-0.0791657269420848,-7.611320117708475,-0.0682101519125629,-6.593584241932704,-16.00386389074987,3.870950604454082,0.2080398755474387,6902,203,0.0258588380834876,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-10.408290700127198,True,3.814706458194494
era5_age_specific_wetness5,Five-indicator score weighted by under-5 or age-70+ population for the corresponding outcome,u5,Under-5,Deaths,M3_domains_sdi_spline_year_fe,0.8616121464085507,-0.0795103064221638,-7.643149876731647,-0.0685070457780021,-6.621311917471884,-16.038834099385426,3.8525286599224495,0.2065777543371018,6902,203,0.0258668402378178,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-10.448361096884453,True,3.827049179412567
era5_age_specific_wetness5,Five-indicator score weighted by under-5 or age-70+ population for the corresponding outcome,u5,Under-5,Incidence,M3_domains_sdi_spline_year_fe,0.8616121464085507,-0.0673061553465919,-6.509106985025648,-0.0579918009746844,-5.634231552167535,-11.604350827019973,0.7391012800197938,0.0820121748377017,6902,203,0.1022477897295579,"Association with the observed-to-benchmark rate ratio, re-expressed per empirical within-model SD of the score; not causal or attributable.",-6.592670551657953,True,0.9584389994904186
