location_id,location_name,iso3,age_group,age_label,measure_short,rate,expected_rate,excess_rate,high_observed,high_excess,profile
6,China,CHN,70p,70+ years,DALYs,1186.326024234558,2964.786217695444,-1778.460193460886,False,False,neither
7,Democratic People's Republic of Korea,PRK,70p,70+ years,DALYs,2965.5628620640628,4064.179601295263,-1098.6167392312,False,False,neither
8,Taiwan,TWN,70p,70+ years,DALYs,6150.230882795331,2711.312322927909,3438.918559867422,True,True,double-high
10,Cambodia,KHM,70p,70+ years,DALYs,7921.6531727489855,5369.138673311984,2552.514499437001,True,True,double-high
11,Indonesia,IDN,70p,70+ years,DALYs,2670.309429869077,3250.075118755483,-579.7656888864058,False,False,neither
12,Lao People's Democratic Republic,LAO,70p,70+ years,DALYs,20771.26277352354,5065.045181548445,15706.217591975095,True,True,double-high
13,Malaysia,MYS,70p,70+ years,DALYs,11648.498636654576,2847.4676287412203,8801.031007913356,True,True,double-high
14,Maldives,MDV,70p,70+ years,DALYs,6159.491453501719,3280.0773557749376,2879.414097726781,True,True,double-high
15,Myanmar,MMR,70p,70+ years,DALYs,5023.004784020955,4750.758007180834,272.2467768401212,False,False,neither
16,Philippines,PHL,70p,70+ years,DALYs,10332.886092116729,3228.110687824841,7104.775404291888,True,True,double-high
17,Sri Lanka,LKA,70p,70+ years,DALYs,3018.9757253202683,2954.308249684729,64.66747563553918,False,False,neither
18,Thailand,THA,70p,70+ years,DALYs,6563.03284882851,3131.9387263797576,3431.094122448753,True,True,double-high
19,Timor-Leste,TLS,70p,70+ years,DALYs,9205.371710780226,5706.254733575697,3499.1169772045287,True,True,double-high
20,Viet Nam,VNM,70p,70+ years,DALYs,2844.230501252659,3402.6806650493745,-558.4501637967155,False,False,neither
22,Fiji,FJI,70p,70+ years,DALYs,2729.836061585092,3135.7828070655924,-405.94674548050034,False,False,neither
23,Kiribati,KIR,70p,70+ years,DALYs,1795.28846657019,4569.457125254073,-2774.1686586838828,False,False,neither
24,Marshall Islands,MHL,70p,70+ years,DALYs,4365.760680592278,3733.328982319592,632.4316982726864,False,False,neither
25,Micronesia (Federated States of),FSM,70p,70+ years,DALYs,3123.2942889344945,3825.764014728769,-702.4697257942744,False,False,neither
26,Papua New Guinea,PNG,70p,70+ years,DALYs,4759.932890019195,6914.214214043695,-2154.2813240245005,False,False,neither
27,Samoa,WSM,70p,70+ years,DALYs,5251.953392454655,3743.377418835581,1508.5759736190744,False,False,neither
28,Solomon Islands,SLB,70p,70+ years,DALYs,14904.672598807234,6346.221654463564,8558.45094434367,True,True,double-high
29,Tonga,TON,70p,70+ years,DALYs,4596.246773774919,3456.558559809478,1139.6882139654413,False,False,neither
30,Vanuatu,VUT,70p,70+ years,DALYs,5362.586093379462,5891.138477250541,-528.5523838710787,True,False,benchmark-aligned high burden
33,Armenia,ARM,70p,70+ years,DALYs,4175.809790671077,3001.1732088423423,1174.636581828735,False,False,neither
34,Azerbaijan,AZE,70p,70+ years,DALYs,1269.8295823600215,3048.944484458012,-1779.1149020979906,False,False,neither
35,Georgia,GEO,70p,70+ years,DALYs,4872.491554626447,2884.629734029524,1987.861820596924,False,True,excess-only
36,Kazakhstan,KAZ,70p,70+ years,DALYs,2968.65171736511,2966.014443649144,2.6372737159658755,False,False,neither
37,Kyrgyzstan,KGZ,70p,70+ years,DALYs,687.8301423888179,3546.441054185516,-2858.610911796698,False,False,neither
38,Mongolia,MNG,70p,70+ years,DALYs,1161.3524673602376,3287.6567438631555,-2126.3042765029177,False,False,neither
39,Tajikistan,TJK,70p,70+ years,DALYs,2016.0275972554184,4433.50670463451,-2417.479107379092,False,False,neither
40,Turkmenistan,TKM,70p,70+ years,DALYs,894.5399431139859,3157.4996804043967,-2262.959737290411,False,False,neither
41,Uzbekistan,UZB,70p,70+ years,DALYs,1008.492317648959,3487.9399357801203,-2479.447618131161,False,False,neither
43,Albania,ALB,70p,70+ years,DALYs,1710.480908981576,3042.813816766671,-1332.3329077850951,False,False,neither
44,Bosnia and Herzegovina,BIH,70p,70+ years,DALYs,2213.5840634138103,3018.072803903988,-804.4887404901779,False,False,neither
45,Bulgaria,BGR,70p,70+ years,DALYs,1230.5665748771046,2846.406720100324,-1615.840145223219,False,False,neither
46,Croatia,HRV,70p,70+ years,DALYs,1507.3301234982207,2823.5735591495427,-1316.243435651322,False,False,neither
47,Czechia,CZE,70p,70+ years,DALYs,2800.364872596958,2752.571300820148,47.79357177681004,False,False,neither
48,Hungary,HUN,70p,70+ years,DALYs,1145.7699767970742,2803.113006819757,-1657.343030022683,False,False,neither
49,North Macedonia,MKD,70p,70+ years,DALYs,1060.2835515585666,2874.9601522495745,-1814.676600691008,False,False,neither
50,Montenegro,MNE,70p,70+ years,DALYs,1383.4037502822998,2811.777565945028,-1428.3738156627278,False,False,neither
51,Poland,POL,70p,70+ years,DALYs,3707.999517865052,2736.960530860544,971.0389870045084,False,False,neither
52,Romania,ROU,70p,70+ years,DALYs,2500.731651154694,2850.9959791199312,-350.26432796523704,False,False,neither
53,Serbia,SRB,70p,70+ years,DALYs,2272.311681591777,2819.087032166846,-546.7753505750688,False,False,neither
54,Slovakia,SVK,70p,70+ years,DALYs,3483.4865279204887,2773.963129244119,709.5233986763697,False,False,neither
55,Slovenia,SVN,70p,70+ years,DALYs,1606.552849245391,2738.888512700209,-1132.335663454818,False,False,neither
57,Belarus,BLR,70p,70+ years,DALYs,248.1600151330209,2787.3337334727053,-2539.1737183396845,False,False,neither
58,Estonia,EST,70p,70+ years,DALYs,1047.1629027722847,2730.284507222286,-1683.121604450001,False,False,neither
59,Latvia,LVA,70p,70+ years,DALYs,906.2331997295256,2733.6254423882747,-1827.3922426587487,False,False,neither
60,Lithuania,LTU,70p,70+ years,DALYs,869.6954891889312,2729.21282390898,-1859.517334720049,False,False,neither
61,Republic of Moldova,MDA,70p,70+ years,DALYs,785.7367240245864,2944.549276331778,-2158.812552307192,False,False,neither
62,Russian Federation,RUS,70p,70+ years,DALYs,1020.1001291007824,2762.1785228232056,-1742.0783937224232,False,False,neither
63,Ukraine,UKR,70p,70+ years,DALYs,287.0800354563575,2860.5310232178185,-2573.450987761461,False,False,neither
66,Brunei Darussalam,BRN,70p,70+ years,DALYs,4299.524570544703,2751.1565450610096,1548.3680254836936,False,True,excess-only
67,Japan,JPN,70p,70+ years,DALYs,3320.3200499434147,2714.9412327042173,605.3788172391974,False,False,neither
68,Republic of Korea,KOR,70p,70+ years,DALYs,5116.731598138097,2705.192989069995,2411.5386090681022,False,True,excess-only
69,Singapore,SGP,70p,70+ years,DALYs,7868.709613418058,2718.920259365668,5149.78935405239,True,True,double-high
71,Australia,AUS,70p,70+ years,DALYs,1082.308629986975,2731.907564881337,-1649.598934894362,False,False,neither
72,New Zealand,NZL,70p,70+ years,DALYs,1820.0461559467865,2721.438304819959,-901.3921488731723,False,False,neither
74,Andorra,AND,70p,70+ years,DALYs,1556.4774762608458,2712.374015097086,-1155.8965388362403,False,False,neither
75,Austria,AUT,70p,70+ years,DALYs,789.7413021914608,2731.020501124372,-1941.2791989329112,False,False,neither
76,Belgium,BEL,70p,70+ years,DALYs,3465.6892295479533,2714.2265569252672,751.4626726226861,False,False,neither
77,Cyprus,CYP,70p,70+ years,DALYs,2063.898889684748,2729.511232546008,-665.61234286126,False,False,neither
78,Denmark,DNK,70p,70+ years,DALYs,2550.026288991264,2691.656275723189,-141.62998673192533,False,False,neither
79,Finland,FIN,70p,70+ years,DALYs,379.3178064086695,2705.689525871961,-2326.371719463292,False,False,neither
80,France,FRA,70p,70+ years,DALYs,2209.466853626614,2725.380088464822,-515.9132348382082,False,False,neither
81,Germany,DEU,70p,70+ years,DALYs,1637.1696062219269,2713.15314764003,-1075.9835414181032,False,False,neither
82,Greece,GRC,70p,70+ years,DALYs,3931.362364716588,2752.449225171671,1178.9131395449172,False,False,neither
83,Iceland,ISL,70p,70+ years,DALYs,2602.5737205552487,2706.7819832739715,-104.20826271872284,False,False,neither
84,Ireland,IRL,70p,70+ years,DALYs,2557.534911395764,2696.6034945952283,-139.06858319946423,False,False,neither
85,Israel,ISR,70p,70+ years,DALYs,2511.2659334560044,2742.5581827966835,-231.29224934067904,False,False,neither
86,Italy,ITA,70p,70+ years,DALYs,1383.27155660591,2748.992848192845,-1365.7212915869354,False,False,neither
87,Luxembourg,LUX,70p,70+ years,DALYs,1692.336662342515,2703.4010997763567,-1011.0644374338416,False,False,neither
88,Malta,MLT,70p,70+ years,DALYs,3301.080154271338,2753.155693373486,547.924460897852,False,False,neither
89,Netherlands,NLD,70p,70+ years,DALYs,2247.090477555469,2695.7863420545395,-448.69586449907047,False,False,neither
90,Norway,NOR,70p,70+ years,DALYs,2496.432383528044,2691.147157228216,-194.71477370017143,False,False,neither
91,Portugal,PRT,70p,70+ years,DALYs,3889.867583016528,2815.5378676760715,1074.3297153404565,False,False,neither
92,Spain,ESP,70p,70+ years,DALYs,1581.1722526471997,2775.731844012309,-1194.559591365109,False,False,neither
93,Sweden,SWE,70p,70+ years,DALYs,1415.8661110957985,2694.4072860932856,-1278.5411749974871,False,False,neither
94,Switzerland,CHE,70p,70+ years,DALYs,1412.262052220562,2674.652481670741,-1262.3904294501797,False,False,neither
95,United Kingdom,GBR,70p,70+ years,DALYs,3358.95080276485,2712.000647526416,646.950155238434,False,False,neither
97,Argentina,ARG,70p,70+ years,DALYs,10774.987989997417,2859.9417885656862,7915.046201431731,True,True,double-high
98,Chile,CHL,70p,70+ years,DALYs,2905.8087193601546,2811.835201456468,93.97351790368656,False,False,neither
99,Uruguay,URY,70p,70+ years,DALYs,3972.04482942476,2909.373388752889,1062.6714406718706,False,False,neither
101,Canada,CAN,70p,70+ years,DALYs,1515.5993371164911,2707.7742502862,-1192.174913169708,False,False,neither
102,United States of America,USA,70p,70+ years,DALYs,1504.2421958193252,2714.553512786405,-1210.3113169670798,False,False,neither
105,Antigua and Barbuda,ATG,70p,70+ years,DALYs,4954.273528778876,2881.522283802768,2072.7512449761084,False,True,excess-only
106,Bahamas,BHS,70p,70+ years,DALYs,3903.783956898026,2773.355073071008,1130.4288838270186,False,False,neither
107,Barbados,BRB,70p,70+ years,DALYs,4303.441919344393,2884.2155890395184,1419.2263303048744,False,False,neither
108,Belize,BLZ,70p,70+ years,DALYs,5586.31986472287,3517.985053200687,2068.334811522183,True,True,double-high
109,Cuba,CUB,70p,70+ years,DALYs,8159.262129101151,3094.9553597055337,5064.306769395617,True,True,double-high
110,Dominica,DMA,70p,70+ years,DALYs,4377.027685625847,2887.1285730104905,1489.8991126153564,False,False,neither
111,Dominican Republic,DOM,70p,70+ years,DALYs,3076.1314691803145,3298.0131688409533,-221.8816996606388,False,False,neither
112,Grenada,GRD,70p,70+ years,DALYs,5684.394244755142,3179.4436400639547,2504.950604691187,True,True,double-high
113,Guyana,GUY,70p,70+ years,DALYs,5408.624557707214,3091.7210502749426,2316.9035074322715,True,True,double-high
114,Haiti,HTI,70p,70+ years,DALYs,6744.637798858005,6200.456059532762,544.1817393252431,True,False,benchmark-aligned high burden
115,Jamaica,JAM,70p,70+ years,DALYs,2091.477716757894,3109.287669265167,-1017.809952507273,False,False,neither
116,Saint Lucia,LCA,70p,70+ years,DALYs,2906.7336001419976,3059.1882620851634,-152.45466194316575,False,False,neither
117,Saint Vincent and the Grenadines,VCT,70p,70+ years,DALYs,4118.283008430654,3295.60357584711,822.6794325835444,False,False,neither
118,Suriname,SUR,70p,70+ years,DALYs,4530.767567438014,3319.2284583269447,1211.5391091110696,False,False,neither
119,Trinidad and Tobago,TTO,70p,70+ years,DALYs,2436.608556424258,2847.3003420276336,-410.6917856033756,False,False,neither
121,Bolivia (Plurinational State of),BOL,70p,70+ years,DALYs,8031.352018452793,3490.295095650456,4541.056922802338,True,True,double-high
122,Ecuador,ECU,70p,70+ years,DALYs,4460.968098163794,3113.296329811545,1347.6717683522488,False,False,neither
123,Peru,PER,70p,70+ years,DALYs,10602.979692859246,3139.868043889301,7463.111648969945,True,True,double-high
125,Colombia,COL,70p,70+ years,DALYs,2314.8429415300548,3123.694822339889,-808.8518808098347,False,False,neither
126,Costa Rica,CRI,70p,70+ years,DALYs,1634.3438482845013,3008.536260214511,-1374.1924119300097,False,False,neither
127,El Salvador,SLV,70p,70+ years,DALYs,5244.107222521679,3705.9420691944033,1538.165153327276,False,True,excess-only
128,Guatemala,GTM,70p,70+ years,DALYs,7205.330305476816,4393.738791249488,2811.591514227328,True,True,double-high
129,Honduras,HND,70p,70+ years,DALYs,2043.8203367524195,4964.564361800336,-2920.7440250479167,False,False,neither
130,Mexico,MEX,70p,70+ years,DALYs,3549.4142906562743,3101.695612417711,447.71867823856337,False,False,neither
131,Nicaragua,NIC,70p,70+ years,DALYs,1991.4897105294133,4687.075377650411,-2695.5856671209976,False,False,neither
132,Panama,PAN,70p,70+ years,DALYs,2242.5947696064973,3008.837900043697,-766.2431304371999,False,False,neither
133,Venezuela (Bolivarian Republic of),VEN,70p,70+ years,DALYs,2637.311838640684,4023.675041391066,-1386.3632027503818,False,False,neither
135,Brazil,BRA,70p,70+ years,DALYs,5705.730238441883,3148.3132179849986,2557.417020456884,True,True,double-high
136,Paraguay,PRY,70p,70+ years,DALYs,5816.343177771665,3201.290924547061,2615.052253224604,True,True,double-high
139,Algeria,DZA,70p,70+ years,DALYs,2744.4492500957344,3300.1843813012697,-555.7351312055353,False,False,neither
140,Bahrain,BHR,70p,70+ years,DALYs,2442.953554816423,2819.465408751306,-376.5118539348828,False,False,neither
141,Egypt,EGY,70p,70+ years,DALYs,4764.637300702211,3187.78473986522,1576.852560836992,False,True,excess-only
142,Iran (Islamic Republic of),IRN,70p,70+ years,DALYs,2384.406450634785,3000.2382833229226,-615.8318326881376,False,False,neither
143,Iraq,IRQ,70p,70+ years,DALYs,1504.1493955960084,3326.3263210606065,-1822.176925464598,False,False,neither
144,Jordan,JOR,70p,70+ years,DALYs,2147.048085976634,2990.0485798792047,-843.0004939025707,False,False,neither
145,Kuwait,KWT,70p,70+ years,DALYs,4640.693556479814,2714.1180827972294,1926.5754736825847,False,True,excess-only
146,Lebanon,LBN,70p,70+ years,DALYs,5275.838107847474,2978.1796743696145,2297.6584334778595,False,True,excess-only
147,Libya,LBY,70p,70+ years,DALYs,1822.963775984122,2847.227379884631,-1024.2636039005088,False,False,neither
148,Morocco,MAR,70p,70+ years,DALYs,2120.033521902992,3663.8884018818167,-1543.8548799788246,False,False,neither
