variant,age_group,age_label,measure,model_id,model_label,domain_term,domain_label,beta_log_observed_benchmark_ratio,percent_difference_per_1sd,ci_low_percent,ci_high_percent,p_value,n,n_countries,r2,signal
primary_hap_only_full_1990_2023,u5,Under-5,Incidence,M1_domains_only,M1,path_household_hap,Household energy / HAP,-0.03718427262913011,-3.6501427425555177,-10.74485902315937,4.008518634671132,0.34067071597094367,6902,203,0.05282149785419421,Under-5 incidence - household energy / HAP
primary_hap_only_full_1990_2023,u5,Under-5,Incidence,M2_domains_year_fe,M2,path_household_hap,Household energy / HAP,-0.038568519441558556,-3.7834224580495235,-11.013428628577238,4.034009302882002,0.3331950471524181,6902,203,0.05312338605366762,Under-5 incidence - household energy / HAP
primary_hap_only_full_1990_2023,u5,Under-5,Incidence,M3_domains_sdi_spline_year_fe,M3,path_household_hap,Household energy / HAP,0.17279090715031686,18.861754766892314,4.0986932861403425,35.71848310747106,0.010661275414858496,6902,203,0.10493603957509279,Under-5 incidence - household energy / HAP
primary_hap_only_full_1990_2023,u5,Under-5,Incidence,M1_domains_only,M1,path_thermal_context,Thermal climate,0.11537000382467669,12.228861183793981,5.048902969743341,19.899560362272982,0.0006258469268059901,6902,203,0.05282149785419421,Under-5 incidence - thermal climate
primary_hap_only_full_1990_2023,u5,Under-5,Incidence,M2_domains_year_fe,M2,path_thermal_context,Thermal climate,0.11688332410282776,12.398827969871927,5.153866364358084,20.142957798867855,0.0005854706198291138,6902,203,0.05312338605366762,Under-5 incidence - thermal climate
primary_hap_only_full_1990_2023,u5,Under-5,Incidence,M3_domains_sdi_spline_year_fe,M3,path_thermal_context,Thermal climate,0.18958514221460437,20.87480350929376,11.822922062491381,30.659419857095926,1.8085839925334557e-06,6902,203,0.10493603957509279,Under-5 incidence - thermal climate
primary_hap_only_full_1990_2023,70p,70+ years,Incidence,M1_domains_only,M1,path_thermal_context,Thermal climate,0.3269792115790529,38.677264806708145,28.926121395730142,49.1659220495775,1.49746094255787e-18,6902,203,0.2842838193241677,70+ incidence - thermal climate
primary_hap_only_full_1990_2023,70p,70+ years,Incidence,M2_domains_year_fe,M2,path_thermal_context,Thermal climate,0.335108262133994,39.80917374244759,29.8374170758553,50.546779986589875,6.916664947027506e-19,6902,203,0.29116311260494776,70+ incidence - thermal climate
primary_hap_only_full_1990_2023,70p,70+ years,Incidence,M3_domains_sdi_spline_year_fe,M3,path_thermal_context,Thermal climate,0.37612685489274716,45.663190293522106,34.22547289186257,58.0755466853949,1.9721656683423127e-19,6902,203,0.31853746521688986,70+ incidence - thermal climate
primary_hap_only_full_1990_2023,70p,70+ years,YLLs,M1_domains_only,M1,path_thermal_context,Thermal climate,0.304250254690263,35.560826096956234,21.29363172923904,51.50620284097993,8.217329995141917e-08,6902,203,0.2082997094915222,70+ severe - thermal climate
primary_hap_only_full_1990_2023,70p,70+ years,YLLs,M2_domains_year_fe,M2,path_thermal_context,Thermal climate,0.3119200509864026,36.60454746753587,22.02826764448671,52.92196430400906,6.027419965293473e-08,6902,203,0.21226472150244846,70+ severe - thermal climate
primary_hap_only_full_1990_2023,70p,70+ years,YLLs,M3_domains_sdi_spline_year_fe,M3,path_thermal_context,Thermal climate,0.3361963642210349,39.9613831908759,23.936026153010626,58.05887434633825,5.999743225976899e-08,6902,203,0.22601384850655581,70+ severe - thermal climate
